Name,0,2,4,6,8,0a,flag,0e,race,level,hp,14,mp,18,st,1c,ma,vt,ag,lu,2e,30,Inheritence Preference,34,macca,exp,3a,ai script,ai skill 1-1,ai skill 1-2,ai skill 1-3,ai skill 1-4,ai skill 1-5,ai skill 2-1,ai skill 2-2,ai skill 2-3,ai skill 2-4,ai skill 2-5,ai skill 3-1,ai skill 3-2,ai skill 3-3,ai skill 3-4,ai skill 3-5,learn skill 1,learn skill 2,learn skill 3,learn skill 4,learn skill 5,learn skill 6,learn skill 7,learn skill 8,learn skill 9,learn skill 10,learn skill 11,learn skill 12,binary skill affinities,Inher B1,Breath Skills,Wing Skills,Eye Skills,Lunge Skills,Bite Skills,Claw Skills,Not Dante?,Weapon Skills,Inher B10,Proper Women?,Talk Skills
Vishnu,0,0,0,0,256,0,65,0,1,93,708,708,384,384,27,0,35,25,20,26,0,0,7: Magic,2459,1068,1000,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Bufu: 100,None: 0,None: 0,None: 0,None: 0,Mabufudyne: 100,None: 0,None: 0,None: 0,None: 0,Prayer: level 0,Holy Wrath: level 0,Hell Gaze: level 0,Prominence: level 1,Hades Blast: level 2,Radiance: level 3,Phys Repel: level 4,,,,,,0b100110011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Mithra,0,0,0,1281,256,0,65,0,1,78,630,630,309,309,27,0,25,27,16,18,0,0,7: Magic,2207,782,5000,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Debilitate: level 0,Megidola: level 0,Mamudoon: level 0,Death Pact: level 1,Holy Wrath: level 2,Fog Breath: level 3,Mahamaon: level 4,Mana Surge: level 5,,,,,0b100010011111,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Amaterasu,0,0,0,1281,256,0,65,0,1,56,756,756,237,237,19,0,23,17,16,16,0,0,7: Magic,2177,443,454,101,103,Attack: 10,Tetrakarn: 10,Debilitate: 20,Prominence: 20,Godly Light: 40,Tetrakarn: 90,Debilitate: 4,Prominence: 3,Godly Light: 3,None: 0,Attack: 10,Tetrakarn: 60,Debilitate: 10,Prominence: 10,Godly Light: 10,Tetrakarn: level 0,Prominence: level 0,Godly Light: level 1,Debilitate: level 2,Fire Repel: level 3,Prayer: level 4,,,,,,,0b100010000001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Odin,8,0,0,1281,256,0,65,0,1,65,648,648,270,270,24,0,25,18,17,16,0,0,7: Magic,2459,570,596,98,70,Bufudyne: 10,Agidyne: 10,Mabufudyne: 10,Maragidyne: 10,Deathbound: 60,Bufudyne: 10,Agidyne: 10,Mabufudyne: 30,Maragidyne: 30,Makajamon: 20,Mabufudyne: 70,Bufudyne: 30,None: 0,None: 0,None: 0,Bufudyne: level 0,Agidyne: level 0,Deathbound: level 1,Makajamon: level 2,Wooing: level 3,Mabufudyne: level 4,Maragidyne: level 5,,,,,,0b100110011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Atavaka,8,0,0,1281,256,0,65,0,1,47,603,603,183,183,24,0,14,20,10,14,0,0,1: Phys,2459,332,328,102,70,Attack: 10,Mighty Gust: 30,Chaos Blade: 50,Binding Cry: 10,None: 0,Attack: 40,Mighty Gust: 15,Chaos Blade: 15,Binding Cry: 30,None: 0,Attack: 20,Mighty Gust: 35,Chaos Blade: 35,Binding Cry: 10,None: 0,Might: level 0,Mighty Gust: level 0,Endure: level 1,Binding Cry: level 2,Retaliate: level 3,Chaos Blade: level 4,,,,,,,0b100110011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Horus,8,0,0,1281,256,0,65,0,1,38,312,312,162,162,12,0,16,14,21,10,0,0,8: Expel,2271,238,65000,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Watchful: level 0,Mahama: level 0,Mana Gain: level 1,Dekunda: level 2,Liftoma: level 3,Mediarama: level 4,Violet Flash: level 5,,,,,,0b100011011111,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Laksmi,0,0,0,1281,256,0,65,0,2,54,414,414,234,234,14,0,24,15,13,16,0,0,2: Support,3209,417,424,0,70,Agi: 100,None: 0,None: 0,None: 0,None: 0,32769: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Mediarahan: level 0,Seduce: level 0,Mana Aid: level 1,Stone Gaze: level 2,Mana Surge: level 3,Samrecarm: level 4,Recarmdra: level 5,,,,,,0b110010001001,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Scathach,0,0,0,1281,256,0,65,0,2,64,729,729,270,270,21,0,26,17,18,15,0,0,6: Force,2185,555,580,100,70,Attack: 10,Wind Cutter: 70,Mazandyne: 20,None: 0,None: 0,Thunderclap: 70,Mazandyne: 20,Attack: 10,None: 0,None: 0,Attack: 10,Wind Cutter: 70,Mazandyne: 10,Thunderclap: 10,None: 0,Might: level 0,Mazandyne: level 0,Force Repel: level 1,Dark Pledge: level 2,Thunderclap: level 3,Mana Aid: level 4,Wind Cutter: level 5,,,,,,0b100010001001,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Sarasvati,8,0,0,1281,256,0,65,0,2,30,246,246,141,141,9,0,17,11,9,12,0,0,2: Support,3209,168,146,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Dia: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Mute Gaze: level 0,Mana Refill: level 0,Recarm: level 1,Seduce: level 2,Mazanma: level 3,Force Boost: level 4,,,,,,,0b110010001001,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Sati,0,0,0,1281,256,0,65,0,2,48,549,549,204,204,11,0,20,13,15,17,0,0,3: Fire,3209,344,341,102,70,Allure: 40,Agidyne: 30,Maragidyne: 30,None: 0,None: 0,Attack: 40,Agidyne: 30,Maragidyne: 30,None: 0,None: 0,Attack: 20,Agidyne: 30,Maragidyne: 30,Allure: 20,None: 0,Agidyne: level 0,Recarm: level 0,Sexy Gaze: level 0,Maragidyne: level 1,Makatora: level 2,Pester: level 3,Allure: level 4,,,,,,0b110010001001,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
